,item,pr_tb_id,tb_id0
380,380,198.0,198.0
381,381,199.0,199.0
382,382,187.0,187.0
383,383,192.0,192.0
384,384,200.0,200.0
385,385,201.0,201.0
386,386,202.0,202.0
387,387,203.0,203.0
388,388,204.0,204.0
389,389,192.0,192.0
390,390,205.0,205.0
391,391,184.0,184.0
392,392,206.0,206.0
393,393,207.0,207.0
394,394,208.0,208.0
395,395,209.0,209.0
396,396,210.0,210.0
397,397,211.0,211.0
398,398,212.0,212.0
399,399,187.0,187.0
400,400,213.0,213.0
401,401,214.0,214.0
402,402,215.0,215.0
403,403,216.0,216.0
404,404,217.0,217.0
405,405,192.0,192.0
406,406,218.0,218.0
407,407,219.0,219.0
408,408,220.0,220.0
